description,reaction,T,I,pH,pMg,standard_dg_prime,stderr,n,SEM,nontrans_standard_dg_prime,nontrans_stderr
ATP(aq) + propanoate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + propanonyl-CoA(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC(=O)C([H])([H])C([H])([H])[H] + [H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21 = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] + [H]OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])[H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21,298.15,0.25,7.0,14.0,-0.4806576576879566,,1,,-0.3613763747549543,
(-)-ureidoglycolate(aq) = glyoxylate(aq) + urea(aq),[H]OC(=O)[C@]([H])(O[H])N([H])C(=O)N([H])[H] = [H]OC(=O)C([H])=O + [H]N([H])C(=O)N([H])[H],298.15,0.25,7.0,14.0,4.926119049363908,0.1002451164016068,3,0.057876544939413,4.895050230616499,0.1003464908523111
D-glucose 6-phosphate(aq) + NADP(aq) + H2O(l) = 6-phospho-D-gluconate(aq) + NADPH(aq),[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,-26.93666151520997,0.1774827912365576,6,0.0724570461090793,-23.90320737929196,4.650638787599842
(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),[H]OC(=O)C([H])([H])[C@]([H])(O[H])C(=O)O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C(=O)C([H])([H])C(=O)O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,28.89213358245128,1.5753403165526216,71,0.186958499309795,23.17190860388372,4.426273550397055
L-iditol(aq) + NAD(aq) = L-sorbose(aq) + NADH(aq),[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC([H])([H])C1(O[H])OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,11.524327962474826,3.502950623437551,3,2.0224294853996376,8.515214188489951,4.723800277834608
D-fructose 1-phosphate(aq) + H2O(l) = D-fructose(aq) + orthophosphate(aq),[H]OC([H])([H])[C@@]1([H])OC(O[H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-11.388379856382148,0.547985762465026,2,0.3874844486327005,-11.757310931141692,2.109299299131917
(R)-lactate(aq) + NAD(ox)(aq) = pyruvate(aq) + NAD(red)(aq),[H]OC(=O)[C@]([H])(O[H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C(=O)C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,23.6346851553363,5.736603929077038,2,4.0563915392317655,20.782177082252048,9.770659532811532
ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + *C(=O)N([H])[C@]([H])(C(=O)N(*)[H])C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H] = [H]OP(=O)(O[H])OP(=O)(O[H])O[H] + *C(=O)N([H])[C@]([H])(C(=O)N(*)[H])C([H])([H])c1c([H])c([H])c(OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]([H])(n3c([H])nc4c(N([H])[H])nc([H])nc43)[C@]([H])(O[H])[C@]2([H])O[H])c([H])c1[H],298.15,0.25,7.0,14.0,-8.51584814017633,2.162344358535848,14,0.5779108387046153,-7.308611382944376,1.5539059288344956
L-threo-3-methylaspartate(aq) = L-glutamate(aq),[H]OC(=O)[C@@]([H])(N([H])[H])[C@@]([H])(C(=O)O[H])C([H])([H])[H] = [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-5.983360846268202,,1,,-5.971062332777909,
L-pipecolate(aq) + NADP(aq) =D-1-piperidine-2-carboxylate(aq) + NADPH(aq),[H]OC(=O)[C@@]1([H])N([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C1=NC([H])([H])C([H])([H])C([H])([H])C1([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,34.65164856368616,2.2495755385904475,6,0.918385367898874,11.759072814041057,1.1228972773147574
D-glyceraldehyde 3-phosphate(aq) + orthophosphate(aq) + NAD(aq) = 3-phospho-D-glyceroyl phosphate(aq) + NADH(aq),[H]O[C@@]([H])(C([H])=O)C([H])([H])OP(=O)(O[H])O[H] + [H]OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]O[C@@]([H])(C(=O)OP(=O)(O[H])O[H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,4.246653470917089,3.5898219483513687,36,0.5983036580585614,1.9594121344361184,2.316214607270661
3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq),[H]OC(=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C(=O)C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,33.51601952714224,4.791353574985309,21,1.045559068507974,29.403424907250177,5.420846176138972
L-histidine(aq) = urocanate(aq) + ammonia(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1nc([H])n([H])c1[H] = [H]OC(=O)/C([H])=C(\[H])c1nc([H])n([H])c1[H] + [H]N([H])[H],298.15,0.25,7.0,14.0,4.204606764804897,5.462052288732683,8,1.931127106279191,4.468205830015161,5.923628262957122
trans-4-hydroxy-L-proline(aq) = cis-4-hydroxy-D-proline(aq),[H]OC(=O)[C@@]1([H])N([H])C([H])([H])[C@]([H])(O[H])C1([H])[H] = [H]OC(=O)[C@]1([H])N([H])C([H])([H])[C@]([H])(O[H])C1([H])[H],298.15,0.25,7.0,14.0,0.0249009784445353,,1,,0.0249009784445353,
CoA(aq) + oxidized glutathione(aq) = CoA-glutathione(aq) + reduced glutathione(aq),[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21 + [H]OC(=O)C([H])([H])N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])C(=O)O[H])N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H] = [H]OC(=O)C([H])([H])N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H])C([H])([H])SSC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])N([H])C(=O)C([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])OP(=O)(O[H])O[H] + [H]OC(=O)C([H])([H])N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H])C([H])([H])S[H],298.15,0.25,7.0,14.0,-0.9607082311808416,,1,,-0.5528663760401958,
5 '-methylthioadenosine(aq) + orthophosphate(aq) = adenine(aq) + 5-methylthio-D-ribose 1-phosphate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])SC([H])([H])[H] + [H]OP(=O)(O[H])O[H] = [H]c1nc(N([H])[H])c2nc([H])n([H])c2n1 + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])SC([H])([H])[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,11.920597323123587,,1,,11.02038940062589,
UTP(aq) + UMP(aq) = 2 UDP(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c([H])c(=O)n([H])c2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c([H])c(=O)n([H])c2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] = 2.0 [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c([H])c(=O)n([H])c2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1.8645776202017876,,1,,0.1589601706040025,
hypoxanthine(aq) + 5-phospho--D-ribose 1-diphosphate(aq) = IMP(aq) + pyrophosphate(aq),[H]c1nc2c(nc([H])n2[H])c(=O)n1[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]1([H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] + [H]OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-28.84571078141875,,1,,-29.76847056251579,
ATP(aq) + inosine 5'-diphosphate(aq) = ADP(aq) + inosine 5'-triphosphate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,0.0319505190701647,,1,,0.0,
(S)-proline(aq) + NADP(aq) =D-1-pyrroline-5-carboxylate(aq) + NADPH(aq),[H]OC(=O)[C@@]1([H])N([H])C([H])([H])C([H])([H])C1([H])[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)[C@@]1([H])N=C([H])C([H])([H])C1([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,50.15539764465724,,1,,24.91082599099663,
palmitoyl-CoA(aq) + L-carnitine(aq) = CoA(aq) + L-palmitoylcarnitine(aq),[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21 + [H]O[C@]([H])(C([H])([H])C(=O)[O-])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H] = [H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21 + [H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C(=O)[O-])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,2.46431124658419,,1,,1.7864804598010426,
xanthosine(aq) + orthophosphate(aq) = xanthine(aq) + D-ribose 1-phosphate(aq),[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c(=O)n([H])c32)[C@]([H])(O[H])[C@]1([H])O[H] + [H]OP(=O)(O[H])O[H] = [H]c1nc2c(c(=O)n([H])c(=O)n2[H])n1[H] + [H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,11.113210221170725,,1,,10.75758344080382,
carbamoyl phosphate(aq) + L-aspartate(aq) = orthophosphate(aq) + N-carbamoyl-L-aspartate(aq),[H]OP(=O)(O[H])OC(=O)N([H])[H] + [H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H] = [H]OP(=O)(O[H])O[H] + [H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)N([H])[H],298.15,0.25,7.0,14.0,-22.416413169455776,,1,,-21.873273017599185,
lactulose(aq) + H2O(l) = D-galactose(aq) + D-fructose(aq),[H]OC([H])([H])[C@@]1(O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@]2([H])O[C@]([H])(C([H])([H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] + [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-10.764570910857923,1.7777440399385536,2,1.2570548658545198,-10.76451965533585,1.7776651826816054
citrate(aq) = cis-aconitate(aq) + H2O(l),[H]OC(=O)C([H])([H])C(O[H])(C(=O)O[H])C([H])([H])C(=O)O[H] = [H]OC(=O)/C([H])=C(\C(=O)O[H])C([H])([H])C(=O)O[H] + [H]O[H],298.15,0.25,7.0,14.0,7.948927530168696,0.663590220615413,3,0.3831239925039118,7.893459964998169,0.5520843414017803
palmitoylethanolamide(aq) + H2O(l) = ethanolamine(aq) + palmitic acid(aq),[H]OC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H] + [H]O[H] = [H]OC([H])([H])C([H])([H])N([H])[H] + [H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,21.83271611966628,,1,,20.16527760191942,
glycine(aq) + formaldehyde(aq) = L-serine(aq),[H]OC(=O)C([H])([H])N([H])[H] + [H]C([H])=O = [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-20.41773184331095,,1,,-20.42028013023344,
L-tyrosine(aq) + 2-oxoglutarate(aq) = 4-hydroxyphenylpyruvate(aq) + L-glutamate(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H] + [H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H] = [H]OC(=O)C(=O)C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H] + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,0.2962428157455082,0.0028712939418446,2,0.0020303114170581,0.3223671547264291,0.0079815468318984
(2-aminoethyl)phosphonate(aq) + pyruvate(aq) = 2-phosphonoacetaldehyde(aq) + L-alanine(aq),[H]OP(=O)(O[H])C([H])([H])C([H])([H])N([H])[H] + [H]OC(=O)C(=O)C([H])([H])[H] = [H]OP(=O)(O[H])C([H])([H])C([H])=O + [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,1.4956813705176912,,1,,1.7173598229556049,
ATP(aq) = adenosine 3':5'-(cyclic)phosphate(aq) + diphosphate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] = [H]O[C@]1([H])[C@]2([H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21 + [H]OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,6.432388747729476,1.3961685518065938,8,0.493620125330922,6.256091495235631,2.0735066599603544
L-glutamate(aq) + (S)-malate(aq) + NAD(aq) = L-aspartate(aq) + 2-oxoglutarate(aq) + NADH(aq),[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H] + [H]OC(=O)C([H])([H])[C@]([H])(O[H])C(=O)O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H] + [H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,27.318919306303133,0.0,2,0.0,25.028830507315707,0.0
